Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Robot_Body,0.000104042129668613,0.0877816025915936,-0.00690008826215147,0,0,0,2.13809371197155,0.0304746948350179,2.28485885750178E-06,-5.07528464719343E-06,0.0462735273259771,-0.00117116630054818,0.0264404448884293,0,0,0,0,0,0,package://SteriBot_V1/meshes/Robot_Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SteriBot_V1/meshes/Robot_Body.STL,,Robot_Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_Wheel,-2.77555756156289E-17,3.46944695195361E-17,-0.0130550774526678,0,0,0,0.0730106132694267,2.0643141959258E-05,-8.470329472543E-22,4.02472403053964E-22,2.0643141959258E-05,-3.06929109187452E-23,3.30769494037039E-05,0,0,0,0,0,0,package://SteriBot_V1/meshes/Right_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SteriBot_V1/meshes/Right_Wheel.STL,,R_Wheel-1,Origin_Right_Wheel_Joint,Axis_Right_Wheel_Joint,Right_Wheel_Joint,continuous,0.165,-0.10676,0.01775,1.5708,-0.54317,-1.5708,Robot_Body,0,0,1,,,,,,,,,,,,
Left_Wheel,-8.32667268468867E-17,1.2490009027033E-16,0.013030888030888,0,0,0,0.073230524755178,2.06605749493452E-05,-1.6940658945086E-21,4.05447365964337E-21,2.06605749493452E-05,-1.97469498516513E-21,3.30796982972758E-05,0,0,0,0,0,0,package://SteriBot_V1/meshes/Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SteriBot_V1/meshes/Left_Wheel.STL,,L_Wheel-1,Origin_Left_Wheel_Joint,Axis_Left_Wheel_Joint,Left_Wheel_Joint,continuous,-0.165,-0.10676,0.01775,1.5708,-0.54317,-1.5708,Robot_Body,0,0,1,,,,,,,,,,,,
